trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
R01WSL003,20:55:00,20:55:00,03A,19,,
R01WSL003,20:58:00,20:58:00,02D,20,,
R01WSL003,21:01:00,21:01:00,01C,21,,
R01WSL004,21:26:00,21:26:00,21D,1,,
R01WSL004,21:31:00,21:31:00,20A,2,,
R01WSL004,21:35:00,21:35:00,19A,3,,
R01WSL004,21:38:00,21:38:00,18A,4,,
R01WSL004,21:41:00,21:41:00,17E,5,,
R01WSL004,21:45:00,21:45:00,16A,6,,
R01WSL004,21:48:00,21:48:00,15A,7,,
R01WSL004,21:50:00,21:50:00,14A,8,,
R01WSL004,21:53:00,21:53:00,13A,9,,
R01WSL004,21:55:00,21:55:00,12A,10,,
R01WSL004,21:58:00,21:58:00,11A,11,,
R01WSL004,22:00:00,22:00:00,10A,12,,
R01WSL004,22:02:00,22:02:00,09A,13,,
R01WSL004,22:05:00,22:05:00,08B,14,,
R01WSL004,22:08:00,22:08:00,07A,15,,
R01WSL004,22:11:00,22:11:00,06A,16,,
R01WSL004,22:14:00,22:14:00,05A,17,,
R01WSL004,22:16:00,22:16:00,04A,18,,
R01WSL004,22:18:00,22:18:00,03A,19,,
R01WSL004,22:21:00,22:21:00,02D,20,,
R01WSL004,22:24:00,22:24:00,01C,21,,
R51WSP001,4:34:00,4:34:00,24C,1,,
R51WSP001,4:39:00,4:39:00,26A,2,,
R51WSP001,4:41:00,4:41:00,28A,3,,
R51WSP001,4:46:00,4:46:00,31A,4,,
R51WSP001,4:50:00,4:50:00,25A,5,,
R51WSP001,4:55:00,4:55:00,02D,6,,
R51WSP001,4:58:00,4:58:00,01A,7,,
R51WSP002,4:54:00,4:54:00,24C,1,,
R51WSP002,4:59:00,4:59:00,26A,2,,
R51WSP002,5:01:00,5:01:00,28A,3,,
R51WSP002,5:06:00,5:06:00,31A,4,,
R51WSP002,5:10:00,5:10:00,25A,5,,
R51WSP002,5:15:00,5:15:00,02D,6,,
R51WSP002,5:20:00,5:20:00,01F,7,,
R51WSP002,5:24:00,5:24:00,29A,8,,
R51WSP002,5:31:00,5:31:00,32A,9,,
R51WSP002,5:38:00,5:38:00,17F,10,,
R51WSP002,5:43:00,5:43:00,19A,11,,
R51WSP002,5:47:00,5:47:00,20A,12,,
R51WSP002,5:52:00,5:52:00,21A,13,,
R51WSP003,5:44:00,5:44:00,24C,1,,
R51WSP003,5:49:00,5:49:00,26A,2,,
R51WSP003,5:51:00,5:51:00,28A,3,,
R51WSP003,5:56:00,5:56:00,31A,4,,
R51WSP003,6:00:00,6:00:00,25A,5,,
R51WSP003,6:05:00,6:05:00,02D,6,,
R51WSP003,6:10:00,6:10:00,01F,7,,
R51WSP003,6:14:00,6:14:00,29A,8,,
R51WSP003,6:21:00,6:21:00,32A,9,,
R51WSP003,6:28:00,6:28:00,17F,10,,
R51WSP003,6:33:00,6:33:00,19A,11,,
R51WSP003,6:37:00,6:37:00,20A,12,,
R51WSP003,6:42:00,6:42:00,21A,13,,
R51WSP004,6:20:00,6:20:00,21A,1,,
R51WSP004,6:30:00,6:30:00,30A,2,,
R51WSP004,6:37:00,6:37:00,22A,3,,
R51WSP004,6:39:00,6:39:00,23A,4,,
R51WSP004,6:42:00,6:42:00,27A,5,,
R51WSP004,6:44:00,6:44:00,24C,6,,
R51WSP004,6:49:00,6:49:00,26A,7,,
R51WSP004,6:51:00,6:51:00,28A,8,,
R51WSP004,6:56:00,6:56:00,31A,9,,
R51WSP004,7:00:00,7:00:00,25A,10,,
R51WSP004,7:02:00,7:02:00,03A,11,,
R51WSP004,7:05:00,7:05:00,02D,12,,
R51WSP004,7:10:00,7:10:00,01F,13,,
R51WSP004,7:14:00,7:14:00,29A,14,,
R51WSP004,7:21:00,7:21:00,32A,15,,
R51WSP004,7:28:00,7:28:00,17F,16,,
R51WSP004,7:33:00,7:33:00,19A,17,,
R51WSP004,7:37:00,7:37:00,20A,18,,
R51WSP004,7:42:00,7:42:00,21A,19,,
R51WSP005,8:40:00,8:40:00,21A,1,,
R51WSP005,8:50:00,8:50:00,30A,2,,
R51WSP005,8:57:00,8:57:00,22A,3,,
R51WSP005,8:59:00,8:59:00,23A,4,,
R51WSP005,9:02:00,9:02:00,27A,5,,
R51WSP005,9:04:00,9:04:00,24C,6,,
R51WSP005,9:09:00,9:09:00,26A,7,,
R51WSP005,9:11:00,9:11:00,28A,8,,
R51WSP005,9:16:00,9:16:00,31A,9,,
R51WSP005,9:20:00,9:20:00,25A,10,,
R51WSP005,9:22:00,9:22:00,03A,11,,
R51WSP005,9:25:00,9:25:00,02D,12,,
R51WSP005,9:30:00,9:30:00,01F,13,,
R51WSP005,9:34:00,9:34:00,29A,14,,
R51WSP005,9:41:00,9:41:00,32A,15,,
R51WSP005,9:48:00,9:48:00,17F,16,,
R51WSP005,9:53:00,9:53:00,19A,17,,
R51WSP005,9:57:00,9:57:00,20A,18,,
R51WSP005,10:02:00,10:02:00,21A,19,,
R51WSP006,9:00:00,9:00:00,21A,1,,
R51WSP006,9:10:00,9:10:00,30A,2,,
R51WSP006,9:17:00,9:17:00,22A,3,3,3
R51WSP006,9:19:00,9:19:00,23A,4,3,3
R51WSP006,9:22:00,9:22:00,27A,5,,
R51WSP006,9:24:00,9:24:00,24C,6,,
R51WSP006,9:29:00,9:29:00,26A,7,,
R51WSP006,9:31:00,9:31:00,28A,8,,
R51WSP006,9:36:00,9:36:00,31A,9,,
R51WSP006,9:40:00,9:40:00,25A,10,,
R51WSP006,9:42:00,9:42:00,03A,11,,
R51WSP006,9:45:00,9:45:00,02D,12,,
R51WSP006,9:50:00,9:50:00,01F,13,,
R51WSP006,9:54:00,9:54:00,29A,14,,
R51WSP006,10:01:00,10:01:00,32A,15,,
R51WSP006,10:08:00,10:08:00,17F,16,,
R51WSP006,10:13:00,10:13:00,19A,17,,
R51WSP006,10:17:00,10:17:00,20A,18,,
R51WSP006,10:22:00,10:22:00,21A,19,,
R51WSP007,16:00:00,16:00:00,21A,1,,
R51WSP007,16:10:00,16:10:00,30A,2,,
R51WSP007,16:17:00,16:17:00,22A,3,,
R51WSP007,16:19:00,16:19:00,23A,4,3,3
R51WSP007,16:22:00,16:22:00,27A,5,,
R51WSP007,16:24:00,16:24:00,24C,6,,
R51WSP007,16:29:00,16:29:00,26A,7,,
R51WSP007,16:31:00,16:31:00,28A,8,,
